words@lgp1960m	@lgp1960m	8.828	9.134	этого
words@lgp1960m	@lgp1960m	9.134	9.44	спасибо
words@lgp1960m	@lgp1960m	9.44	9.76	что
words@lgp1960m	@lgp1960m	33.71	34.031	Ну
words@lgp1960m	@lgp1960m	34.031	34.352	это
words@lgp1960m	@lgp1960m	34.352	34.673	тогда
words@lgp1960m	@lgp1960m	34.673	34.994	было
words@lgp1960m	@lgp1960m	34.994	35.315	б
words@lgp1960m	@lgp1960m	35.315	35.636	минное
words@lgp1960m	@lgp1960m	35.636	35.957	поле
words@lgp1960m	@lgp1960m	35.957	36.278	/
words@lgp1960m	@lgp1960m	36.278	36.599	это
words@lgp1960m	@lgp1960m	36.599	36.92	разные
words@lgp1960m	@lgp1960m	36.92	37.241	всё-таки
words@lgp1960m	@lgp1960m	37.241	37.562	минные
words@lgp1960m	@lgp1960m	37.562	37.883	поля
words@lgp1960m	@lgp1960m	37.883	38.204	/
words@lgp1960m	@lgp1960m	38.204	38.525	То
words@lgp1960m	@lgp1960m	38.525	38.846	минное
words@lgp1960m	@lgp1960m	38.846	39.167	поле
words@lgp1960m	@lgp1960m	39.167	39.488	про
words@lgp1960m	@lgp1960m	39.488	39.809	которое
words@lgp1960m	@lgp1960m	39.809	40.13	тогдашнего
words@lgp1960m	@lgp1960m	40.13	40.451	антисемитизм
words@lgp1960m	@lgp1960m	40.451	40.772	/
words@lgp1960m	@lgp1960m	40.772	41.093	общество
words@lgp1960m	@lgp1960m	41.093	41.414	памяти
words@lgp1960m	@lgp1960m	41.414	41.735	и
words@lgp1960m	@lgp1960m	41.735	42.056	прочее
words@lgp1960m	@lgp1960m	42.056	42.377	говорил
words@lgp1960m	@lgp1960m	42.377	42.698	в
words@lgp1960m	@lgp1960m	42.698	43.019	начале
words@lgp1960m	@lgp1960m	43.019	43.34	девяностых
words@lgp1960m	@lgp1960m	43.34	43.661	Зиновий
words@lgp1960m	@lgp1960m	43.661	43.982	Гердт
words@lgp1960m	@lgp1960m	43.982	44.303	мне
words@lgp1960m	@lgp1960m	44.303	44.624	/
words@lgp1960m	@lgp1960m	44.624	44.945	это
words@lgp1960m	@lgp1960m	44.945	45.266	/
words@lgp1960m	@lgp1960m	45.266	45.587	одно
words@lgp1960m	@lgp1960m	45.587	45.908	/
words@lgp1960m	@lgp1960m	45.908	46.229	/
words@lgp1960m	@lgp1960m	46.229	46.55	В
words@lgp1960m	@lgp1960m	46.55	46.871	случае
words@lgp1960m	@lgp1960m	46.871	47.192	с
words@lgp1960m	@lgp1960m	47.192	47.513	"Русскими
words@lgp1960m	@lgp1960m	47.513	47.834	грузинами"
words@lgp1960m	@lgp1960m	47.834	48.155	мне
words@lgp1960m	@lgp1960m	48.155	48.476	как-то
words@lgp1960m	@lgp1960m	48.476	48.797	вообще
words@lgp1960m	@lgp1960m	48.797	49.118	без
words@lgp1960m	@lgp1960m	49.118	49.439	разницы
words@lgp1960m	@lgp1960m	49.439	49.76	официальные
words@lgp1960m	@lgp1960m	49.76	50.081	отношения
words@lgp1960m	@lgp1960m	50.081	50.402	между
words@lgp1960m	@lgp1960m	50.402	50.723	Россией
words@lgp1960m	@lgp1960m	50.723	51.044	и
words@lgp1960m	@lgp1960m	51.044	51.365	Грузией
words@lgp1960m	@lgp1960m	51.365	51.686	/
words@lgp1960m	@lgp1960m	51.686	52.007	/
words@lgp1960m	@lgp1960m	52.007	52.328	Я
words@lgp1960m	@lgp1960m	52.328	52.649	с
words@lgp1960m	@lgp1960m	52.649	52.97	государством
words@lgp1960m	@lgp1960m	52.97	53.291	не
words@lgp1960m	@lgp1960m	53.291	53.612	работаю
words@lgp1960m	@lgp1960m	53.612	53.933	/
words@lgp1960m	@lgp1960m	53.933	54.254	отношения
words@lgp1960m	@lgp1960m	54.254	54.575	к
words@lgp1960m	@lgp1960m	54.575	54.896	официальным
words@lgp1960m	@lgp1960m	54.896	55.217	контактам
words@lgp1960m	@lgp1960m	55.217	55.538	/
words@lgp1960m	@lgp1960m	55.538	55.859	не
words@lgp1960m	@lgp1960m	55.859	56.18	имею
